epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.0448,1.67573,0.67373,0.99153,0.94354,0.000235546,0.000235546,0.000235546
2,35.8774,0.51312,0.86864,1,0.40396,0.000450106,0.000450106,0.000450106
3,52.4373,0.28887,0.86864,0.9661,0.61244,0.000641103,0.000641103,0.000641103
4,68.8114,0.17611,0.86017,0.99576,0.49254,0.000607971,0.000607971,0.000607971
5,86.4584,0.18564,0.90254,0.99576,0.39156,0.000572628,0.000572628,0.000572628
6,103.358,0.1495,0.85593,0.99576,0.53476,0.000537285,0.000537285,0.000537285
7,119.881,0.11569,0.87288,0.99576,0.40562,0.000501942,0.000501942,0.000501942
8,136.341,0.09828,0.91949,1,0.2,0.000466599,0.000466599,0.000466599
9,153,0.08753,0.91102,1,0.28933,0.000431256,0.000431256,0.000431256
10,170.453,0.08971,0.86441,1,0.50311,0.000395913,0.000395913,0.000395913
11,187.152,0.07314,0.87712,1,0.47507,0.00036057,0.00036057,0.00036057
12,203.537,0.05731,0.85593,0.99576,0.48161,0.000325227,0.000325227,0.000325227
13,221.647,0.04666,0.87712,0.99576,0.39627,0.000289884,0.000289884,0.000289884
14,238.143,0.06106,0.86441,1,0.54794,0.000254541,0.000254541,0.000254541
15,255.244,0.04842,0.90254,1,0.35019,0.000219198,0.000219198,0.000219198
16,271.421,0.04247,0.89407,1,0.35452,0.000183855,0.000183855,0.000183855
17,287.427,0.04096,0.90254,0.99576,0.35853,0.000148512,0.000148512,0.000148512
18,303.677,0.03931,0.89407,0.98729,0.39867,0.000113169,0.000113169,0.000113169
19,319.74,0.02946,0.89831,0.98305,0.44952,7.7826e-05,7.7826e-05,7.7826e-05
20,337.186,0.02627,0.89407,0.98305,0.34979,4.2483e-05,4.2483e-05,4.2483e-05
